path,asset_kind,origin_class,sha256,bytes,line_count,family,functional_summary,has_main_guard,definitions,imports,local_dependencies,external_repo_references,absolute_path_count,plotting_code,notebook_output_count,notebook_executed_cells,paper_role,target_disposition,canonical_replacement,deletion_gate,evidence_status
DBAASP_MLM_MDLM.py,py,apexoracle_legacy_added,5e167f35288d8a5275f76ecb7f486177ed9e57c9c40fed6e68bd5dcbf6e546e3,22808,578,molecule_embedding,DLM/MDLM molecule embedding、tokenization、pooling 或 embedding dictionary producer。,True,class:SMILESDataset;function:SMILESDataset.__init__;function:SMILESDataset.remove_long_smiles;function:SMILESDataset.remove_long_smiles.is_valid;function:SMILESDataset.__len__;function:SMILESDataset.__getitem__;class:ClassificationModel;function:ClassificationModel.__init__;function:ClassificationModel._process_sigma;function:ClassificationModel._sample_t;function:ClassificationModel._forward;function:ClassificationModel.forward;class:ClassificationHead;function:ClassificationHead.__init__;function:ClassificationHead.forward;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;function:collate_fn;class:MultiTaskLoss;function:MultiTaskLoss.__init__;function:MultiTaskLoss.forward;function:calculate_r2_per_task;class:R2Tracker;function:R2Tracker.__init__;function:R2Tracker.update_best_r2;function:R2Tracker.get_best_r2;function:load_DIT,collections;diffusion;hydra;models;noise_schedule;numpy;pandas;pathlib;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;wandb,diffusion.py;models/__init__.py;noise_schedule.py,ApexOracle-Core,3,False,0,0,none_identified,migrate_then_remove_legacy_copy,apexoracle_mdlm.embeddings + M2 参数化 embedding CLI,固定 SELFIES hidden-state/pooling/output-manifest parity 通过，且所有数据 adapter 已登记后才可移除。,verified_by_source_static_audit
DBAASP_semiles_to_SELFEIS.py,py,apexoracle_legacy_added,8ce832caf5486f8bfb2e4765cf6ac7524742cd93603f1c7a85c1e5362cef3243,1685,51,chemistry_legacy,历史 peptide/SMILES/SELFIES 转换或 catalog matching helper。,True,function:main;function:smiles_to_selfeise,collections;hydra;models;pandas;selfies;torch;tqdm;transformers,models/__init__.py,ApexOracle-Core,3,False,0,0,none_identified,freeze_behavior_then_migrate_or_snapshot_only,PepLink==0.1.2 或小型兼容 adapter,先冻结历史 parser 行为、失败样例和结构映射 parity；确认无论文资产依赖后才可移除。,verified_family_role_behavior_parity_pending
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_species_11_species_5_ensemble.py,py,apexoracle_legacy_added,d1ac11a478f64ba82540aadb54f7553032157e23a1f1789dc0735852233d59ae,90923,1651,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,False,function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_cls;function:collate_fn_text_only;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict,Bio;argparse;itertools;json;logging;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,,ApexOracle-Core;ApexOracle-Evo2,2,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_species_11_species_5_ensemble_MDLM_MTR.py,py,apexoracle_legacy_added,eb6467f8fd3661129cf6ef19b95fa79cd5a75dfdb0e1fd5fe1a666caa8f1d947,98640,1773,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,True,class:mol_emb_mdlm;function:mol_emb_mdlm.__init__;function:mol_emb_mdlm._process_sigma;function:mol_emb_mdlm._sample_t;function:mol_emb_mdlm._forward;function:mol_emb_mdlm.q_xt;function:mol_emb_mdlm.forward;function:mol_emb_mdlm.load_DIT;function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_text_only;function:collate_fn_cls;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict,Bio;argparse;ast;collections;hydra;itertools;json;logging;models;noise_schedule;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,models/__init__.py;noise_schedule.py,ApexOracle-Core;ApexOracle-Evo2,4,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_species_3_species_5_ensemble.py,py,apexoracle_legacy_added,8c529937b94152ba52a6ba01ef079e7e327944e9aea86046f9001fa1886b5356,89191,1647,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,False,function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_cls;function:collate_fn_text_only;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict,Bio;argparse;itertools;json;logging;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,,ApexOracle-Core;ApexOracle-Evo2,2,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_species_3_species_5_ensemble_MDLM_MTR.py,py,apexoracle_legacy_added,7664288b92cb4c9da69fb3ced058c8a6f0bbb069e71acf6c61e77215bcb59080,98022,1775,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,True,class:mol_emb_mdlm;function:mol_emb_mdlm.__init__;function:mol_emb_mdlm._process_sigma;function:mol_emb_mdlm._sample_t;function:mol_emb_mdlm._forward;function:mol_emb_mdlm.q_xt;function:mol_emb_mdlm.forward;function:mol_emb_mdlm.load_DIT;function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_text_only;function:collate_fn_cls;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict,Bio;argparse;ast;collections;hydra;itertools;json;logging;models;noise_schedule;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,models/__init__.py;noise_schedule.py,ApexOracle-Core;ApexOracle-Evo2,4,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_strains_ChemBERTa.py,py,apexoracle_legacy_added,cd0e1b7d5d558a78f6931374eccf18fbd3c6c3e5f633fdce1e82fdf7da3c2a68,109549,1920,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,True,class:mol_emb_mdlm;function:mol_emb_mdlm.__init__;function:mol_emb_mdlm._process_sigma;function:mol_emb_mdlm._sample_t;function:mol_emb_mdlm._forward;function:mol_emb_mdlm.q_xt;function:mol_emb_mdlm.forward;function:mol_emb_mdlm.load_DIT;function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_text_only;function:collate_fn_cls;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict,Bio;argparse;ast;collections;hydra;itertools;json;logging;models;noise_schedule;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,models/__init__.py;noise_schedule.py,ApexOracle-Core;ApexOracle-Evo2,4,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_strains_MDLM_MTR.py,py,apexoracle_legacy_added,87210eff42d83d8f84555dbf8fbd3a88926de85aae934847b764bba5fa6ff15a,110650,1942,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,True,class:mol_emb_mdlm;function:mol_emb_mdlm.__init__;function:mol_emb_mdlm._process_sigma;function:mol_emb_mdlm._sample_t;function:mol_emb_mdlm._forward;function:mol_emb_mdlm.q_xt;function:mol_emb_mdlm.forward;function:mol_emb_mdlm.load_DIT;function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_text_only;function:collate_fn_cls;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict,Bio;argparse;ast;collections;hydra;itertools;json;logging;models;noise_schedule;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,models/__init__.py;noise_schedule.py,ApexOracle-Core;ApexOracle-Evo2,4,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_strains_MDLM_MTR_cls_cuseqlen_dit.py,py,apexoracle_legacy_added,9c7343efd294faceaeadb5d66b5e9f6adc660cf8692bab3bdd11d6e83d2c8efd,112072,1959,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,True,class:mol_emb_mdlm;function:mol_emb_mdlm.__init__;function:mol_emb_mdlm._process_sigma;function:mol_emb_mdlm._sample_t;function:mol_emb_mdlm._forward;function:mol_emb_mdlm.q_xt;function:mol_emb_mdlm.forward;function:mol_emb_mdlm.load_DIT;function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_text_only;function:collate_fn_cls;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict;function:mean_pooling,Bio;argparse;ast;collections;hydra;itertools;json;logging;models;noise_schedule;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,models/__init__.py;noise_schedule.py,ApexOracle-Core;ApexOracle-Evo2,4,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
DP_inhouse_SM_MIC_with_text_genome_test_on_non_seen_strains_MDLM_MTR_cuseqlen_dit.py,py,apexoracle_legacy_added,f645c70225d66cda42369b39dc1c87f5d639eaa6b64b27fd8d6dde80ce37f2d1,112179,1959,hierarchical_mic,历史 strain/species split hierarchical MIC train/evaluation driver。,True,class:mol_emb_mdlm;function:mol_emb_mdlm.__init__;function:mol_emb_mdlm._process_sigma;function:mol_emb_mdlm._sample_t;function:mol_emb_mdlm._forward;function:mol_emb_mdlm.q_xt;function:mol_emb_mdlm.forward;function:mol_emb_mdlm.load_DIT;function:get_embedded_genome_IDs;function:get_original_strain_name_with_genome_embedding;function:load_all_genome_embeddings;function:load_text_wo_genome_embeddings;class:SMILESDataset_with_genome_and_text;function:SMILESDataset_with_genome_and_text.__init__;function:SMILESDataset_with_genome_and_text.tokenize_smiles;function:SMILESDataset_with_genome_and_text.remove_long_smiles;function:SMILESDataset_with_genome_and_text.__len__;function:SMILESDataset_with_genome_and_text.__getitem__;class:SMILESDataset_with_text_only;function:SMILESDataset_with_text_only.__init__;function:SMILESDataset_with_text_only.__getitem__;function:collate_fn;function:collate_fn_text_only;function:collate_fn_cls;function:collate_fn_text_only_cls;class:RegressionHead;function:RegressionHead.__init__;function:RegressionHead.forward;class:FirstTokenAttention_genome;function:FirstTokenAttention_genome.__init__;function:FirstTokenAttention_genome.forward;function:calculate_r2;function:exclude_wrong_species_ATCC_map;function:cluster_species;function:get_ATCC_ID_to_species_name_map;function:get_original_strain_ID_to_species_name_map;function:merge_dict;function:mean_pooling,Bio;argparse;ast;collections;hydra;itertools;json;logging;models;noise_schedule;numpy;pandas;pathlib;scipy.stats;sklearn.cluster;sklearn.metrics;sklearn.model_selection;torch;torch.nn;torch.nn.functional;torch.nn.utils.rnn;torch.optim;torch.utils.data;tqdm;transformers;triton.language,models/__init__.py;noise_schedule.py,ApexOracle-Core;ApexOracle-Evo2,4,False,0,0,none_identified,candidate_after_core_mapping,ApexOracle-Core canonical MIC runners,必须给出逐文件 Core source mapping、协议差异和 prediction/metric parity；确认无外部 caller 后才可移除。,verified_family_role_mapping_pending_per_file_parity
